Features,r_dicho_MinMax,b_dicho_MinMax
Return_from_market,1,18
ROI,2,37
ROA,3,21
Sales_growth_rate,4,33
P_to_B,5,2
Operating_assets_Ratio,6,40
ROE,7,22
Cash_to_total_assets_ratio,8,36
P_to_S,9,30
Net_profit_margin,10,24
EPS,11,32
DPS,12,25
Operating_profit_margin,13,35
Profit_margin_before_interest_and_taxes,14,31
DuPont_Ratio,15,1
Stock_market_value,16,11
Debt_to_equity_ratio,17,12
Operating_cash_flow_to_sales,18,5
Gross_profit_margin,19,20
Sale_to_current_assets,20,19
Fixed_asset_turnover,21,26
Net_profit_to_sale,22,8
EPS_growth,23,44
Net_profit_to_Gross_profit,24,3
Total_income_growth,25,41
Operating_profit_to_sale,26,9
Net_working_capital,27,10
Equity_Ratio,28,14
Profit_margin_growth_rate,29,13
Current_assets_ratio,30,27
P_to_E,31,29
Return_ratio_without_risk,32,43
Liquidity_ratios,33,16
Current_ratio,34,4
Quick_Ratio,35,6
Capital,36,7
Working_capital_return,37,45
Cost_to_sales_ratio,38,15
Average_payment_period,39,39
Total_asset_turnover,40,38
Net_return_on_working_capital,41,34
Debt_to_total_assets_ratio,42,42
Longterm_debt_to_equity_ratio,43,28
Cash_flow_returns_to_sales,44,17
Current_debt_to_total_debt_Ratio,45,23
